No	unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	分類
1	2	2-H-1	do	v	〜する、(疑問文を作る)			
2	2	2-H-1	you	prn	あなたは			
3	2	2-H-1	club	n	部、クラブ			
4	2	2-H-1	activity	n	活動			
5	2	2-H-1	or	conj	または			
6	2	2-H-1	committee	n	委員会			
7	2	2-H-2	also	adv	また、〜も			
8	2	2-H-2	be	v	〜がある	(be動詞の疑問文)are		
9	2	2-H-2	any	prn	（疑問文で）いくつかの			
10	2	2-H-2	interested	adj	興味がある			
11	2	2-H-3	school	n	学校	J.H.S.はJunior High Schoolの略		
12	2	2-H-3	brass band	n	吹奏楽団			
13	2	2-H-5	new	adj	新しい			
14	2	2-H-5	member	n	メンバー、一員			
15	2	2-H-5	welcome	adj	歓迎される			
16	2	2-H-6	drama	n	演劇			
17	2	2-H-7	science	n	科学			
18	2	2-H-8	join	v	〜に加わる			
19	2	2-H-8	us	prn	私たちを、私たちに			
20	2	2-H-9	like	v	〜を好む			
21	2	2-H-9	art	n	美術			
22	2	2-H-10	swim	v	泳ぐ			
23	2	2-H-10	team	n	チーム			
24	2	2-H-13	broadcast	v	放送する			
25	2	2-1-1	after	prep	〜の後で			
26	2	2-1-1	class	n	授業、クラス			
27	2	2-1-3	be	v	〜ですか？	(be動詞の疑問文)are		
28	2	2-1-3	you	prn	あなたたちは			
29	2	2-1-3	new	adj	新しい			
30	2	2-1-3	student	n	生徒			
31	2	2-1-4	yes	adv	はい			
32	2	2-1-6	here	adv	ここに			
33	2	2-1-6	the	art	その			
34	2	2-1-6	brass band	n	吹奏楽団			
35	2	2-1-7	thank	v	〜に感謝する			
36	2	2-1-7	Mr.	n	〜さん、〜先生			
37	2	2-2-1	do	v	〜しますか？	(疑問文を作る)		
38	2	2-2-1	you	prn	あなたは			
39	2	2-2-1	play	v	〜を演奏する			
40	2	2-2-1	an	art	一つの			
41	2	2-2-1	instrument	n	楽器			
42	2	2-2-2	yes	adv	はい			
43	2	2-2-2	I	prn	私は			
44	2	2-2-3	the	art	その			
45	2	2-2-3	trumpet	n	トランペット			
46	2	2-2-4	we	prn	私たちは			
47	2	2-2-4	usually	adv	たいてい			
48	2	2-2-4	practice	v	練習する			
49	2	2-2-4	on	prep	〜に（曜日）			
50	2	2-2-4	Monday	n	月曜日			
51	2	2-2-4	Wednesday	n	水曜日			
52	2	2-2-4	Friday	n	金曜日			
53	2	2-3-1	in	prep	〜で、〜の中に			
54	2	2-3-1	the	art	その			
55	2	2-3-1	drama	n	演劇			
56	2	2-3-1	club	n	部、クラブ			
57	2	2-3-2	what	prn	何	(短縮形)What's		
58	2	2-3-2	be	v	〜です	(三人称単数現在)is		
59	2	2-3-2	this	prn	これは			
60	2	2-3-3	oh	int	おお、まあ			
61	2	2-3-3	it	prn	それは	(短縮形)it's		
62	2	2-3-3	tongue	n	舌			
63	2	2-3-3	twister	n	ねじるもの			
64	2	2-3-4	can	v	〜できますか？	(否定短縮形)can't		
65	2	2-3-4	you	prn	あなたは			
66	2	2-3-4	read	v	〜を読む			
67	2	2-3-5	say	v	〜を言う			
68	2	2-3-6	no	adv	いいえ			
69	2	2-3-6	I	prn	私は			
70	2	2-3-7	repeat	v	〜を繰り返す			
71	2	2-3-7	after	prep	〜の後で			
72	2	2-3-7	me	prn	私を、私に			
73	2	2-G-1	do	v	〜しますか？	(疑問文を作る)		
74	2	2-G-1	you	prn	あなたは			
75	2	2-G-1	like	v	〜を好む			
76	2	2-G-2	be	v	〜ですか？	(be動詞の疑問文)are		
77	2	2-G-2	interested	adj	興味がある			
78	2	2-G-3	can	v	〜できますか？			
79	2	2-G-3	play	v	〜を演奏する	(スポーツを)する		
80	2	2-G-4	come	v	来る			
81	2	2-G-4	and	conj	そして			
82	2	2-G-4	join	v	〜に加わる			
83	2	2-G-4	our	prn	私たちの			
84	2	2-G-4	team	n	チーム			
85	2	2-G-5	this	prn	これは			
86	2	2-G-5	be	v	〜です	(三人称単数現在)is		
87	2	2-G-5	my	prn	私の			
88	2	2-G-5	school	n	学校			
89	2	2-G-6	what	prn	何			
90	2	2-G-6	break	n	休憩			
91	2	2-G-6	time	n	時間			
