No	unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	分類
1	3	3-H-1	what	prn	何			
2	3	3-H-1	do	v	〜する、(疑問文を作る)			
3	3	3-H-1	you	prn	あなたは			
4	3	3-H-1	during	prep	〜の間に			
5	3	3-H-1	the	art	その			
6	3	3-H-1	summer	n	夏			
7	3	3-H-1	vacation	n	休暇			
8	3	3-H-1	every	adj	毎〜			
9	3	3-H-1	year	n	年			
10	3	3-H-2	want	v	〜したいと思う			
11	3	3-H-2	this	prn	この			
12	3	3-H-3	see	v	〜を見る			
13	3	3-H-4	my	prn	私の			
14	3	3-H-4	homework	n	宿題			
15	3	3-H-5	climb	v	〜に登る			
16	3	3-H-5	mountain	n	山			
17	3	3-H-6	go	v	行く			
18	3	3-H-6	camping	n	キャンプ			
19	3	3-H-7	to	prep	〜へ			
20	3	3-H-7	beach	n	ビーチ、浜辺			
21	3	3-H-8	visit	v	〜を訪れる			
22	3	3-H-8	grandparent	n	祖父・祖母			
23	3	3-H-9	library	n	図書館			
24	3	3-H-10	a	art	一つの			
25	3	3-H-10	festival	n	祭り			
26	3	3-H-11	try	v	〜を試す			
27	3	3-H-11	yo-yo	n	ヨーヨー			
28	3	3-H-11	fishing	n	釣り			
29	3	3-H-12	eat	v	〜を食べる			
30	3	3-H-12	watermelon	n	スイカ			
31	3	3-1-1	what	prn	何			
32	3	3-1-1	do	v	〜する、(疑問文を作る)			
33	3	3-1-1	you	prn	あなたは			
34	3	3-1-1	during	prep	〜の間に			
35	3	3-1-1	the	art	その			
36	3	3-1-1	summer	n	夏			
37	3	3-1-1	vacation	n	休暇			
38	3	3-1-2	I	prn	私は			
39	3	3-1-2	usually	adv	たいてい			
40	3	3-1-2	visit	v	〜を訪れる			
41	3	3-1-2	my	prn	私の			
42	3	3-1-2	grandparent	n	祖父・祖母			
43	3	3-1-3	go	v	行く			
44	3	3-1-3	to	prep	〜へ			
45	3	3-1-3	beach	n	ビーチ、浜辺			
46	3	3-1-3	with	prep	〜と一緒に			
47	3	3-1-3	family	n	家族			
48	3	3-1-4	that	prn	それは	(短縮形)That's		
49	3	3-1-4	be	v	〜です	(三人称単数現在)is		
50	3	3-1-4	boring	adj	退屈な			
51	3	3-1-5	just	adv	ただ〜だけ			
52	3	3-1-5	practice	v	練習する			
53	3	3-1-5	trumpet	n	トランペット			
54	3	3-1-6	but	conj	しかし			
55	3	3-1-6	also	adv	〜もまた			
56	3	3-1-6	festival	n	祭り			
57	3	3-1-7	sound	v	〜に聞こえる			
58	3	3-1-7	fun	adj	楽しい			
59	3	3-2-1	at	prep	〜で（場所）			
60	3	3-2-1	the	art	その			
61	3	3-2-1	summer	n	夏			
62	3	3-2-1	festival	n	祭り			
63	3	3-2-2	listen	v	聞く			
64	3	3-2-3	what	prn	何	(短縮形)what's		
65	3	3-2-3	be	v	〜です	(三人称単数現在)is		
66	3	3-2-3	that	prn	あれは			
67	3	3-2-5	it	prn	それは	(短縮形)it's		
68	3	3-2-5	a	art	一つの			
69	3	3-2-5	dance	n	踊り	(v)踊る		
70	3	3-2-7	do	v	〜しますか？	(疑問文を作る)		
71	3	3-2-7	you	prn	あなたは			
72	3	3-2-7	like	v	〜が好き			
73	3	3-2-8	really	adv	本当に			
74	3	3-2-9	I	prn	私は			
75	3	3-2-9	dance	v	踊る	(動名詞)dancing		
76	3	3-2-11	of	prep	〜の			
77	3	3-2-11	course	n	進路、成り行き			
78	3	3-3-1	what	prn	何			
79	3	3-3-1	be	v	〜です	(複数現在)are		
80	3	3-3-1	those	prn	あれらは			
81	3	3-3-2	balloon	n	風船			
82	3	3-3-3	yeah	adv	うん			
83	3	3-3-4	they	prn	それらは	(短縮形)they're		
84	3	3-3-4	like	prep	〜のようだ	(v)〜を好む		
85	3	3-3-4	yo-yo	n	ヨーヨー			
86	3	3-3-5	do	v	〜しますか？	(疑問文を作る)		
87	3	3-3-5	you	prn	あなたは			
88	3	3-3-5	want	v	〜したいと思う			
89	3	3-3-5	try	v	試す			
90	3	3-3-5	it	prn	それを	(短縮形)it's		
91	3	3-3-6	yes	adv	はい			
92	3	3-3-7	I	prn	私は	(短縮形)I'm		
93	3	3-3-7	get	v	〜を手に入れる			
94	3	3-3-7	that	prn	あの			
95	3	3-3-7	blue	adj	青い			
96	3	3-3-7	one	prn	もの、やつ			
97	3	3-3-8	go	v	行け			
98	3	3-3-9	oh	int	おお			
99	3	3-3-9	no	adv	いいえ			
100	3	3-3-10	too	adv	〜すぎる			
101	3	3-3-10	heavy	adj	重い			
102	3	3-3-11	OK	adj	オーケー、大丈夫			
103	3	3-3-12	watch	v	〜を(注意して)見る			
104	3	3-3-12	me	prn	私を			
105	3	3-3-13	pro	n	プロ			
