No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
1	4	4-H-1	Do you have someone you want to introduce to your friends or teachers?	あなたには、友達や先生に紹介したい人はいますか？	doの疑問文	関係代名詞(目的格省略)	want to do	
2	4	4-H-2	Who is it?	それは誰ですか？	疑問詞(Who)	be動詞の疑問文		
3	4	4-H-3	Our Teachers	私たちの先生	(タイトル)			
4	4	4-1-1	Hello, I'm Hajin.	こんにちは、僕はハジンです。	be動詞(am)			
5	4	4-1-2	I'm from Korea.	韓国出身です。	be動詞(am)	I'm from ~		
6	4	4-1-3	Hi, nice to meet you.	やあ、はじめまして。	(挨拶)			
7	4	4-1-4	Call me Kota.	コウタと呼んでください。	call A B	命令文		
8	4	4-1-5	This is Ms. Thusi.	こちらはトゥシ先生です。	be動詞(is)			
9	4	4-1-6	She's our English teacher.	彼女は私たちの英語の先生です。	be動詞(is)			
10	4	4-1-7	Nice to meet you, Hajin.	はじめまして、ハジン。	(挨拶)			
11	4	4-1-8	Nice to meet you, too, Ms. Thusi.	こちらこそはじめまして、トゥシ先生。	too			
12	4	4-1-9	That's Mr. Hoshino.	あちらはホシノ先生です。	be動詞(is)			
13	4	4-1-10	He's our P.E. teacher.	彼は私たちの体育の先生です。	be動詞(is)			
14	4	4-1-11	He's strict.	彼は厳しいです。	be動詞(is)			
15	4	4-1-12	But he's popular.	でも彼は人気があります。	be動詞(is)			
16	4	4-1-13	His class is fun.	彼の授業は面白いです。	be動詞(is)			
17	4	4-1-14	I see.	なるほど。	(口語表現)			
18	4	4-2-1	Tina: Eri, who's that?	ティナ：エリ、あれは誰？	疑問詞(Who)			
19	4	4-2-2	Eri: Maybe he's a new student in Kota's class.	エリ：たぶんコウタのクラスの新入生よ。	maybe	in (所属)		
20	4	4-2-3	Tina: Cool. He's a good basketball player, isn't he?	ティナ：かっこいいね。彼はバスケが上手よね？	付加疑問文	be動詞(is)		
21	4	4-2-4	Eri: Yes, he is.	エリ：ええ、そうよ。	(応答)			
22	4	4-2-5	Tina: Do you want to meet him?	ティナ：彼に会ってみたい？	want to do	doの疑問文		
23	4	4-2-6	Eri: Yes. Let's ask Kota.	エリ：ええ。コウタに聞いてみましょう。	Let's do			
24	4	4-3-1	Kota and Hajin are in front of the school building.	コウタとハジンは校舎の前にいます。	be動詞(are)	in front of ~		
25	4	4-3-2	Hajin: Is this our classroom?	ハジン：ここは私たちの教室ですか？	be動詞の疑問文			
26	4	4-3-3	Kota: No, it isn't. It's over here.	コウタ：いいえ、違います。あちらです。	(応答)	be動詞(is)	over here	
27	4	4-3-4	Hajin: I see.	ハジン：なるほど。	(口語表現)			
28	4	4-3-5	Eri: Hi, Kota. Is he your classmate?	エリ：こんにちは、コウタ。彼はあなたのクラスメート？	be動詞の疑問文			
29	4	4-3-6	Kota: Yes. This is Hajin. He's from Korea.	コウタ：うん。こちらはハジン。彼は韓国出身だよ。	be動詞(is)	I'm from ~		
30	4	4-3-7	Eri: Hi, I'm Eri. Kota's neighbor.	エリ：こんにちは、私はエリ。コウタの隣人よ。	be動詞(am)			
31	4	4-3-8	Hajin: Hi. Nice to meet you.	ハジン：こんにちは。はじめまして。	(挨拶)			
32	4	4-3-9	Tina: Hi, I'm Tina. I'm from New York. Nice to meet you.	ティナ：こんにちは、私はティナ。ニューヨーク出身よ。はじめまして。	be動詞(am)	I'm from ~		
33	4	4-G-1	We want to introduce Mr. Nakamura.	私たちはナカムラ先生を紹介したいと思います。	want to do			
34	4	4-G-2	He's our math teacher.	彼は私たちの数学の先生です。	be動詞(is)			
35	4	4-G-3	He's from Okinawa.	彼は沖縄出身です。	be動詞(is)	I'm from ~		
36	4	4-G-4	He's good at....	彼は...が得意です。	be動詞(is)	be good at ~		
37	4	DL-1	Whose pencil case is that?	あれは誰の筆箱ですか？	疑問詞(Whose)	be動詞の疑問文		
38	4	DL-2	Pencil case?	筆箱？	(名詞)			
39	4	DL-3	It's under your desk.	それはあなたの机の下にあります。	be動詞(is)	under ~		
40	4	DL-4	Is it yours?	それはあなたのものですか？	be動詞の疑問文	所有代名詞		
41	4	DL-5	No, it's not mine.	いいえ、それは私のものではありません。	(応答)	be動詞の否定文	所有代名詞	
42	4	DL-6	Whose is it?	それは誰のものですか？	疑問詞(Whose)	be動詞の疑問文		
43	4	DL-7	Do you have any idea?	何か心当たりはありますか？	doの疑問文	any		
44	4	DL-8	Well, maybe it's Hiro's.	ええと、たぶんヒロのです。	maybe	所有格('s)		
45	4	DL-9	Let's ask him.	彼に聞いてみましょう。	Let's do			
46	4	AG2-1	That's Mr. Hoshino.	あちらはホシノ先生です。	be動詞(is)			
47	4	AG2-2	He's our P.E. teacher.	彼は私たちの体育の先生です。	be動詞(is)			
48	4	AG2-3	His class is fun.	彼の授業は面白いです。	be動詞(is)			
