No	unit	文番号	単語	品詞	意味1(文脈)	意味2(代表義)	意味3(その他)	分類
1	1	1-H-1	here	adv	ここに			
2	1	1-H-1	we	prn	私たちは			
3	1	1-H-1	go	v	行く			
4	1	1-H-2	what	prn	何			
5	1	1-H-2	do	v	〜する、(疑問文を作る)			
6	1	1-H-2	you	prn	あなたは			
7	1	1-H-2	like	v	〜を好む			
8	1	1-H-3	my	prn	私の			
9	1	1-H-3	name	n	名前			
10	1	1-H-3	be	v	〜です	(三人称単数現在)is		
11	1	1-H-5	color	n	色			
12	1	1-H-5	blue	adj	青い			
13	1	1-H-6	food	n	食べ物			
14	1	1-H-7	season	n	季節			
15	1	1-H-7	I	prn	私は			
16	1	1-H-7	fall	n	秋	(v)落ちる		
17	1	1-H-8	favorite	adj	お気に入りの			
18	1	1-H-8	thing	n	もの、こと			
19	1	1-H-8	music	n	音楽			
20	1	1-H-8	animal	n	動物			
21	1	1-H-9	this	prn	これは			
22	1	1-H-9	me	prn	私を、私に			
23	1	1-H-10	birthday	n	誕生日			
24	1	1-H-11	be	v	〜です	(一人称単数現在)am	(短縮形)I'm	
25	1	1-H-11	year	n	年、歳			
26	1	1-H-11	old	adj	年をとった			
27	1	1-H-13	can	v	〜できる			
28	1	1-H-13	play	v	〜を演奏する	(スポーツを)する		
29	1	1-H-13	trumpet	n	トランペット			
30	1	1-1-1	I	prn	私は			
31	1	1-1-1	be	v	〜です	(一人称単数現在)am	(短縮形)I'm	
32	1	1-1-1	lost	adj	道に迷った			
33	1	1-1-2	Thanks	n	ありがとう			
34	1	1-1-4	a	art	一人の、一つの			
35	1	1-1-4	student	n	生徒			
36	1	1-1-4	there	adv	そこで、あそこで			
37	1	1-1-9	Japan	n	日本			[固有名詞][国名]
38	1	1-2-1	look	v	見る			
39	1	1-2-2	beautiful	adj	美しい			
40	1	1-2-3	I	prn	私は			
41	1	1-2-3	like	v	〜を好む			
42	1	1-2-3	spring	n	春			
43	1	1-2-4	do	v	〜する、(否定文を作る)	(短縮形)don't		
44	1	1-2-5	why	adv	なぜ			
45	1	1-2-5	not	adv	〜ない			
46	1	1-3-2	I	prn	私は			
47	1	1-3-2	be	v	〜です	(一人称単数現在)am	(短縮形)I'm	
48	1	1-3-4	like	v	〜を好む			
49	1	1-3-4	music	n	音楽			
50	1	1-3-4	and	conj	〜と			
51	1	1-3-4	sport	n	スポーツ			
52	1	1-3-5	can	v	〜できる	(否定短縮形)can't		
53	1	1-3-5	swim	v	泳ぐ			
54	1	1-3-5	play	v	〜を演奏する			
55	1	1-3-5	the	art	その			
56	1	1-3-5	drum	n	ドラム			
57	1	1-3-6	but	conj	しかし			
58	1	1-3-6	piano	n	ピアノ			
59	1	1-3-7	cool	adj	すごい、かっこいい			
60	1	1-G-2	my	prn	私の			
61	1	1-G-2	name	n	名前			
62	1	1-G-2	be	v	〜です	(三人称単数現在)is		
63	1	1-G-3	all	adj	すべての			
64	1	1-G-3	about	prep	〜について			
65	1	1-G-3	me	prn	私を、私に			
66	1	1-G-4	color	n	色			
67	1	1-G-5	food	n	食べ物			
68	1	1-G-6	season	n	季節			
69	1	1-G-7	I	prn	私は			
70	1	1-G-7	like	v	〜を好む			
71	1	1-G-8	favorite	adj	お気に入りの			
72	1	1-G-8	thing	n	もの、こと			
73	1	1-G-9	this	prn	これは			
74	1	1-G-10	birthday	n	誕生日			
75	1	1-G-11	be	v	〜です	(一人称単数現在)am	(短縮形)I'm	
76	1	1-G-11	year	n	年、歳			
77	1	1-G-11	old	adj	年をとった			
78	1	1-G-13	can	v	〜できる			
